timestamp,node_id,node_role,gothx_6g_device_class,gothx_6g_load,gothx_6g_holographic_factor,gothx_6g_digital_twin_sync,gothx_6g_neuro_interface,gothx_6g_neural_latency_ms,gothx_6g_neural_bandwidth_mbps,gothx_6g_energy_harvesting,gothx_6g_harvested_power_mw,gothx_6g_cpu_pct,gothx_6g_mem_pct,gothx_6g_massive_conn,gothx_6g_rssi_dbm,gothx_6g_ultra_latency_ms,gothx_6g_throughput_gbps,gothx_6g_packet_loss_pct,gothx_6g_temp_C,gothx_6g_battery_pct,allocated_cpu_pct,allocated_bw_mbps,node_degree,num_neighbors,mobility_flag,generator
2026-07-08T02:26:32.832354,WEARABLE_02,wearable_sensor,6g_wearable,0.186,1.0,0.9693,1,2.227,1.901,0,0.0,17.394,20.129,9,-43.97,0.9588,0.009187,0.928642,40.682,98.43,24.461,11.187056,1,1,0,6G-GothX
2026-07-08T02:26:32.842354,GW_01,gateway,6g_ris,0.584,1.0,0.8712,0,0.0,0.0,1,6.815,28.97,1.469,23,-65.66,0.0765,0.033378,0.302227,38.152,97.838,37.591,44.006578,5,5,0,6G-GothX
2026-07-08T02:26:32.852354,WEARABLE_01,wearable_sensor,6g_wearable,0.275,16.43,0.9876,0,0.0,0.0,0,0.0,13.873,-15.457,31,-50.1,1.5385,0.830349,1.071996,26.48,99.633,22.833,954.889835,1,1,0,6G-GothX
2026-07-08T02:26:32.862354,WEARABLE_01,wearable_sensor,6g_wearable,0.365,1.0,0.8898,1,4.127,0.482,0,0.0,8.651,-4.045,23,-66.13,0.2247,0.064116,0.0,38.989,98.149,19.009,84.027155,1,1,0,6G-GothX
2026-07-08T02:26:32.872354,WARD_01,ward_sensor,6g_ward,0.259,1.0,0.9412,0,0.0,0.0,0,0.0,10.792,-3.938,41,-50.51,1.8181,0.064832,0.51805,28.964,98.274,20.036,82.578676,1,1,0,6G-GothX
2026-07-08T02:26:32.882354,GW_01,gateway,6g_ris,0.1,16.58,0.968,0,0.0,0.0,1,0.555,4.443,-3.937,9,-51.19,0.737,0.910561,0.566813,29.691,99.673,13.525,978.340341,5,5,0,6G-GothX
2026-07-08T02:26:32.892354,WEARABLE_01,wearable_sensor,6g_wearable,0.482,1.0,0.8659,0,0.0,0.0,0,0.0,24.66,11.674,26,-50.25,0.3377,0.075765,0.801933,35.981,92.286,34.558,101.875509,1,1,0,6G-GothX
2026-07-08T02:26:32.902354,GW_01,gateway,6g_ris,0.646,1.0,0.9896,0,0.0,0.0,0,0.0,33.365,20.349,36,-65.84,0.8164,0.099013,0.149293,35.119,98.421,48.862,132.282127,5,5,0,6G-GothX
2026-07-08T02:26:32.912354,EDGE_AI_01,edge_server,6g_edge_ai,0.559,15.6,0.8704,0,0.0,0.0,1,5.674,9.303,-3.689,35,-48.95,0.8047,1.582056,0.0,34.6,95.4,28.793,1910.137881,2,2,0,6G-GothX
2026-07-08T02:26:32.922354,RIS_001,ris,6g_device,0.261,19.01,0.9424,0,0.0,0.0,0,0.0,6.358,-4.742,33,-43.03,0.9607,0.0,0.969191,32.087,98.325,14.291,0.0,2,2,0,6G-GothX
2026-07-08T02:26:32.932354,WARD_01,ward_sensor,6g_ward,0.557,1.0,0.8679,0,0.0,0.0,1,1.666,20.097,11.227,36,-43.29,0.3336,0.089449,0.780177,37.477,96.868,30.981,117.537932,1,1,0,6G-GothX
2026-07-08T02:26:32.942354,EDGE_AI_01,edge_server,6g_edge_ai,0.593,6.35,0.9274,1,2.574,6.52,1,0.0,23.533,21.901,39,-44.12,0.4147,0.482516,0.0,37.445,54.91437576442532,32.872,567.868219,2,2,0,6G-GothX
2026-07-08T02:26:32.952354,CLOUD_01,cloud_server,6g_cloud_ai,0.308,1.0,0.8866,1,2.163,8.501,0,0.0,2.185,4.636,47,-55.07,0.3157,0.032287,1.07195,42.904,97.773,12.869,41.305215,1,1,0,6G-GothX
2026-07-08T02:26:32.962354,EDGE_AI_01,edge_server,6g_edge_ai,0.638,13.55,0.9086,0,0.0,0.0,0,0.0,13.284,0.502,51,-59.23,0.514,1.010768,0.512463,39.206,95.574,28.028,1493.48387,2,2,0,6G-GothX
2026-07-08T02:26:32.972354,EDGE_AI_01,edge_server,6g_edge_ai,0.1,1.0,0.8812,1,4.89,7.11,0,0.0,9.746,3.198,7,-42.12,0.1399,0.0,0.541631,31.681,99.551,10.792,0.0,2,2,0,6G-GothX
