timestamp,node_id,node_role,6g_band,6g_frequency_ghz,6g_bandwidth_mhz,6g_network_slice,6g_beamforming_gain_db,6g_massive_mimo_streams,6g_isac_capable,6g_sensing_accuracy,6g_quantum_crypto,signal_strength_dbm,temperature_C,mobility_speed_kmh,latency_ms,packet_loss_pct,reliability,cpu_usage_pct,memory_usage_pct,allocated_cpu_pct,allocated_bw_mbps,ai_inference_latency_ms,ai_model_accuracy,data_rate_gbps,battery_pct,num_active_flows,connection_density_per_km2,node_degree,num_neighbors,mobility_flag,generator
2026-07-08T02:26:11.120593,WEARABLE_01,wearable_sensor,sub6,6.219,114.2,medical_urgent,2.54,1,1,0.9053,0,-36.07,37.23,3.96,6.2491,0.0,0.9999989,4.012,0.0,17.36,14.554334,0.0,0.0,0.010762,54.813,1,850153.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.130593,GW_01,gateway,sub6,3.625,86.0,medical_urgent,0.52,61,0,0.0,0,-42.35,36.59,0.0,1.0221,0.231425,0.9999908,12.783,9.96,32.034,55.468696,0.0,0.0,0.0385,93.871,11,42043.0,5,5,0,6G-IoT-Flock
2026-07-08T02:26:11.140593,CLOUD_01,cloud_server,THz,298.197,1009.6,medical_urgent,17.28,62,0,0.0,1,-26.81,36.5,0.0,0.6214,0.0,0.999994,100.0,77.642,100.0,1864.782986,1.758,0.9337,1.238933,99.971,9,679748.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.150593,WEARABLE_02,wearable_sensor,sub6,4.978,91.4,medical_urgent,3.28,1,0,0.0,0,-33.56,35.99,4.37,6.6538,0.132103,0.9999933,8.478,4.123,8.854,8.16492,0.0,0.0,0.005782,45.351,8,149298.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.160593,WEARABLE_01,wearable_sensor,mmWave,44.052,382.7,medical_urgent,28.76,1,1,0.8716,0,-10.54,35.62,3.96,3.4391,0.0,0.9999981,3.416,0.0,8.748,31.330412,0.0,0.0,0.021584,31.803,3,870226.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.170593,RIS_001,ris,THz,229.205,969.4,medical_urgent,17.25,1,0,0.0,0,-23.55,36.95,0.0,0.4007,0.045478,0.9999918,55.05,41.698,65.828,932.685155,1.15,0.9827,0.681378,99.947,4,238547.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.180593,EDGE_AI_01,edge_server,mmWave,26.438,455.1,medical_urgent,25.42,57,0,0.0,0,-10.01,36.1,0.0,0.2858,0.0,0.9999952,55.233,32.686,68.716,195.833908,3.343,0.9727,0.137128,99.979,7,627258.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.190593,EDGE_AI_01,edge_server,mmWave,29.377,430.9,medical_urgent,28.05,50,0,0.0,1,-14.97,36.94,0.0,1.6368,0.0,0.9999941,68.959,37.606,87.948,626.898436,3.414,0.8833,0.464407,99.821,1,299768.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.200593,CLOUD_01,cloud_server,THz,146.801,895.7,medical_urgent,25.69,61,0,0.0,0,-19.39,36.53,0.0,0.9666,0.079311,0.9999936,88.014,58.674,92.416,797.078906,4.741,0.9878,0.587056,99.969,5,296459.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.210593,WARD_01,ward_sensor,mmWave,47.409,448.2,medical_urgent,15.0,1,1,0.9661,0,-14.71,36.51,0.0,0.6243,0.0,0.9999955,17.888,7.354,25.278,38.372908,0.0,0.0,0.03208,58.815,8,887982.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.220593,RIS_001,ris,THz,157.013,1105.2,medical_urgent,28.11,1,0,0.0,0,-10.31,36.48,0.0,0.2796,0.0,0.9999915,72.171,57.57,81.613,614.447405,2.244,0.9825,0.491591,99.947,4,474041.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.230593,6G_CORE,6g_core,THz,182.979,958.6,medical_urgent,17.72,1,0,0.0,0,-25.62,37.44,0.0,0.4234,0.0,0.9999908,55.327,39.272,71.265,1794.986994,1.2,0.8946,1.5026,99.991,7,750421.0,3,3,0,6G-IoT-Flock
2026-07-08T02:26:11.240593,EDGE_AI_01,edge_server,mmWave,28.151,365.9,medical_urgent,23.92,12,0,0.0,0,-18.81,36.24,0.0,1.9616,0.08609,0.9999946,52.507,27.449,64.652,331.458818,3.115,0.9768,0.286098,99.893,5,227130.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.250593,WARD_01,ward_sensor,sub6,2.373,92.0,medical_urgent,2.1,1,0,0.0,0,-30.74,35.91,0.0,1.3602,0.013272,0.9999945,8.858,20.544,18.739,13.531835,0.0,0.0,0.011278,98.777,5,950115.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.260593,6G_CORE,6g_core,THz,226.391,1030.0,compromised,15.83,1,0,0.0,0,-29.21,37.07,0.0,0.8039,0.0,0.5695987149167673,48.475,29.07,63.75,1791.68993,1.829,0.9299,0.20359330399995595,99.98,4,701674.0,3,3,0,6G-IoT-Flock
2026-07-08T02:26:11.270593,RIS_001,ris,THz,290.681,1017.6,medical_urgent,20.15,1,0,0.0,0,-30.0,36.88,0.0,0.8631,0.0,0.9999902,87.08,60.132,100.0,1150.542758,4.379,0.8561,0.868927,99.807,2,392435.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.280593,6G_CORE,6g_core,THz,171.419,827.0,medical_urgent,23.14,1,0,0.0,0,-15.44,36.37,0.0,0.2793,0.0,0.999991,80.301,45.443,98.473,636.601341,2.951,0.9559,0.526102,99.982,10,370412.0,3,3,0,6G-IoT-Flock
2026-07-08T02:26:11.290593,EDGE_AI_01,edge_server,mmWave,47.791,429.5,medical_urgent,19.57,15,0,0.0,0,-16.26,36.64,0.0,2.9906,0.0,0.9999906,75.552,39.247,92.636,125.331182,3.903,0.9141,0.097758,99.9,1,46934.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.300593,6G_CORE,6g_core,THz,163.119,924.0,medical_urgent,26.31,1,0,0.0,0,-10.14,36.28,0.0,0.4228,0.0,0.9999947,100.0,74.923,100.0,773.619324,0.279,0.9406,0.604981,99.912,8,905017.0,3,3,0,6G-IoT-Flock
2026-07-08T02:26:11.310593,WEARABLE_02,wearable_sensor,sub6,5.786,97.5,medical_urgent,2.2,1,0,0.0,0,-39.55,36.49,1.7,4.9149,0.089994,0.9999918,4.103,0.0,21.498,8.040757,0.0,0.0,0.005502,67.781,6,386191.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.320593,WEARABLE_01,wearable_sensor,mmWave,44.863,332.6,medical_urgent,26.45,1,1,0.861,0,-13.2,37.08,0.4,2.9471,0.033837,0.9999965,12.193,12.544,13.333,38.580256,0.0,0.0,0.029955,32.39,8,632894.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.330593,EDGE_AI_01,edge_server,mmWave,43.805,376.2,medical_urgent,27.4,26,0,0.0,0,-11.45,37.55,0.0,0.1772,0.13218,0.9999943,71.491,41.928,78.432,335.020016,3.233,0.9608,0.284927,99.964,4,704787.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.340593,WEARABLE_02,wearable_sensor,sub6,5.456,86.4,medical_urgent,4.24,1,1,0.8833,0,-24.3,36.55,0.63,1.1997,0.0,0.9999923,7.634,0.0,10.605,14.590217,0.0,0.0,0.01013,82.041,1,380742.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.350593,6G_CORE,6g_core,THz,221.019,1071.6,medical_urgent,17.44,1,0,0.0,0,-26.32,36.66,0.0,1.0806,0.0,0.9999976,44.563,29.913,58.175,1854.014144,2.912,0.9241,1.394923,99.995,2,682113.0,3,3,0,6G-IoT-Flock
2026-07-08T02:26:11.360593,RIS_001,ris,THz,105.183,874.4,medical_urgent,28.27,1,0,0.0,0,-13.72,36.17,0.0,0.4022,0.0,0.9999912,92.76,63.481,100.0,1302.314225,3.897,0.9486,1.044729,99.981,9,642599.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.370593,CLOUD_01,cloud_server,THz,140.036,854.3,medical_urgent,13.45,49,0,0.0,1,-31.0,35.42,0.0,0.0845,0.0,0.9999909,82.199,56.49,93.19,1097.400174,3.441,0.9684,0.84819,99.996,6,365301.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.380593,WEARABLE_01,wearable_sensor,mmWave,48.386,433.9,medical_urgent,22.75,1,0,0.0,0,-13.7,36.62,2.54,6.8524,0.038712,0.9999912,10.116,9.974,11.934,32.390868,0.0,0.0,0.026112,30.709,5,146622.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.390593,CLOUD_01,cloud_server,THz,105.257,1021.6,medical_urgent,26.07,39,0,0.0,1,-10.26,36.93,0.0,0.48,0.057098,0.9999988,79.335,70.256,87.311,879.468626,0.422,0.9057,0.597214,99.984,8,502916.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.400593,WARD_01,ward_sensor,mmWave,26.341,475.6,medical_urgent,19.0,1,1,0.8655,0,-30.1,36.15,0.0,2.4521,0.127125,0.9999987,11.678,14.411,17.044,60.516587,0.0,0.0,0.040314,94.155,9,671872.0,1,1,0,6G-IoT-Flock
2026-07-08T02:26:11.410593,EDGE_AI_01,edge_server,mmWave,36.515,465.7,medical_urgent,12.48,13,0,0.0,1,-20.54,36.22,0.0,0.1709,0.0,0.9999916,63.41,52.105,72.637,758.120785,4.68,0.8816,0.480929,99.977,10,545103.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.420593,RIS_001,ris,THz,150.121,1054.0,medical_urgent,12.5,1,0,0.0,0,-28.01,36.7,0.0,0.4657,0.0,0.999993,51.227,33.019,70.266,1158.187926,2.714,0.9204,0.944776,99.89,5,988346.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.430593,EDGE_AI_01,edge_server,mmWave,42.925,435.3,medical_urgent,26.85,40,0,0.0,1,-18.78,35.9,0.0,1.521,0.183251,0.9999986,99.726,74.913,100.0,465.448585,0.498,0.9828,0.310929,99.971,1,278511.0,2,2,0,6G-IoT-Flock
2026-07-08T02:26:11.440593,WARD_01,ward_sensor,sub6,0.652,115.6,medical_urgent,3.21,1,1,0.8465,0,-42.15,36.62,0.0,139.49533679361764,0.0,0.999998,4.042,0.541,13.355,11.939176,0.0,0.0,0.008958,54.261,10,476575.0,1,1,0,6G-IoT-Flock
